Comment,Designator,Footprint,LCSC
47uF 35V,"C1,C3",Capacitor_SMD:CP_Elec_6.3x7.7,C131122
100nF,"C2,C4",Capacitor_SMD:C_0805_2012Metric,C49678
100nF,"C5,C6,C7,C8",Capacitor_SMD:C_0402_1005Metric,C307331
22pF,"C9,C10",Capacitor_SMD:C_0603_1608Metric,C1653
10uF 35V,"C11,C12",Capacitor_SMD:CP_Elec_4x5.3,C72485
M7,"D1,D4,D5,D9,D10,D11,D12,D13,D14,D15,D16",Diode:DO-214AC,C95872
LED,D2,LED_SMD:LED_0805_2012Metric,C34499
LED,D3,LED_SMD:LED_0805_2012Metric,C2297
LED,"D6,D7",LED_SMD:LED_0805_2012Metric,C2296
DBG_LED,D8,LED_SMD:LED_0805_2012Metric,C2296
SF-1206F200,F1,Fuse:Fuse_1206_3216Metric,C719183
MMBT3904,"Q1,Q2",Package_TO_SOT_SMD:SOT-23,C20526
2.2K,R1,Resistor_SMD:R_0805_2012Metric,C17520
1K,"R2,R3,R4,R6,R7,R9",Resistor_SMD:R_0805_2012Metric,C17379
10K,"R5,R8,R10,R15,R16,R17,R18,R19",Resistor_SMD:R_0805_2012Metric,C17414
4k7,"R11,R13",Resistor_SMD:R_0805_2012Metric,C17673
100,"R12,R14",Resistor_SMD:R_0805_2012Metric,C17408
RESET,S1,Button_Switch_SMD:SW_SPST_TL3342,C318888
NCP1117ST50T3G,U1,digikey-footprints:SOT-223,C17314
16MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
