Designator,Value,Fotprint,Mid X,Mid Y,Rotation,Layer
C1,47uF 35V,CP_Elec_6.3x7.7,28.3,-117,180,top
C2,100nF,C_0805_2012Metric,28.75,-122,0,top
C3,47uF 35V,CP_Elec_6.3x7.7,28.3,-142,180,top
C4,100nF,C_0805_2012Metric,29,-147,0,top
C5,100nF,C_0402_1005Metric,59.95,-167.95,0,top
C6,100nF,C_0402_1005Metric,59.95,-169,0,top
C7,100nF,C_0402_1005Metric,59.9,-153.7,180,top
C8,100nF,C_0402_1005Metric,59.9,-152.65,180,top
C9,22pF,C_0603_1608Metric,57.2,-153.2,270,top
C10,22pF,C_0603_1608Metric,51.2,-153.2,90,top
C11,10uF 35V,CP_Elec_4x5.3,37.6,-173.5,180,top
C12,10uF 35V,CP_Elec_4x5.3,37.6,-162.8,180,top
D1,M7,DO-214AC,29,-110,0,top
D2,LED,LED_0805_2012Metric,26.7,-103.6,0,top
D3,LED,LED_0805_2012Metric,47.42,-169.693,0,top
D4,M7,DO-214AC,60.5,-138.1,90,top
D5,M7,DO-214AC,65.5,-138.1,90,top
D6,LED,LED_0805_2012Metric,54.25,-146.5,180,top
D7,LED,LED_0805_2012Metric,71.67,-146.5,0,top
D8,DBG_LED,LED_0805_2012Metric,47.42,-171.807,0,top
D9,M7,DO-214AC,91.9,-138.09,90,top
D10,M7,DO-214AC,87.2,-138.09,90,top
D11,M7,DO-214AC,87.2,-173.71,270,top
D12,M7,DO-214AC,91.9,-173.71,270,top
D13,M7,DO-214AC,96.6,-138.39,270,top
D14,M7,DO-214AC,82.5,-138.38,270,top
D15,M7,DO-214AC,82.5,-173.42,90,top
D16,M7,DO-214AC,96.6,-173.42,90,top
F1,SF-1206F200,Fuse_1206_3216Metric,27.25,-106.25,0,top
Q1,MMBT3904,SOT-23,54.27,-137.75,270,top
Q2,MMBT3904,SOT-23,71.65,-137.75,270,top
R1,2.2K,R_0805_2012Metric,30.2,-103.6,180,top
R2,1K,R_0805_2012Metric,47.4,-167.624,0,top
R3,1K,R_0805_2012Metric,54.27,-142.5,0,top
R4,1K,R_0805_2012Metric,54.27,-144.5,180,top
R5,10K,R_0805_2012Metric,54.27,-140.5,0,top
R6,1K,R_0805_2012Metric,71.65,-142.5,180,top
R7,1K,R_0805_2012Metric,71.65,-144.5,0,top
R8,10K,R_0805_2012Metric,71.65,-140.5,180,top
R9,1K,R_0805_2012Metric,47.4,-173.876,0,top
R10,10K,R_0805_2012Metric,47.4,-175.9,0,top
R11,4.7K,R_0805_2012Metric,37.6,-177.1,180,top
R12,100,R_0805_2012Metric,37.6,-179.1,0,top
R13,4.7K,R_0805_2012Metric,37.6,-166.4,180,top
R14,100,R_0805_2012Metric,37.6,-168.5,0,top
R15,10K,R_0805_2012Metric,71.55,-161.45,0,top
R16,10K,R_0805_2012Metric,71.55,-159.4,0,top
R17,10K,R_0805_2012Metric,71.55,-157.35,0,top
R18,10K,R_0805_2012Metric,71.55,-155.3,0,top
R19,10K,R_0805_2012Metric,47.4,-165.6,0,top
S1,RESET,SW_SPST_TL3342,54.9,-176.45,0,top
U1,NCP1117ST50T3G,SOT-223,28.25,-131,90,top
U2,ATMEGA328-AU,TQFP-32_7x7mm_P0.8mm,60,-161,270,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,54.2,-153.2,180,top
