"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"HS1";"Heatsin25x23x16mm_2x_1.5mm";1;"Heatsink";;;
2;"J1";"PinHeader_2x05_P2.54mm_Vertical";1;"EXP1";;;
3;"J2";"PinHeader_2x05_P2.54mm_Vertical";1;"EXP2";;;
4;"J6";"PinHeader_2x05_P2.54mm_Vertical";1;"AVR ICSP";;;
5;"JP4";"PinHeader_1x03_P2.54mm_Vertical";1;"RX/KILL";;;
6;"RLY1,RLY2";"832-1A-C-12VDC";2;"832-1A-C-12VDC";;;
7;"C6,C8,C7,C5";"C_0402_1005Metric";4;"100nF";;;
8;"J10";"TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal";1;"Motor Out2";;;
9;"J9";"TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal";1;"Motor Out1";;;
10;"J5";"TerminalBlock_bornier-2_P5.08mm";1;"Peltier Out2";;;
11;"J4";"TerminalBlock_bornier-2_P5.08mm";1;"Peltier Out1";;;
12;"J8";"TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal";1;"Thermitor 2";;;
13;"J7";"TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal";1;"Thermitor 1";;;
14;"U2";"TQFP-32_7x7mm_P0.8mm";1;"ATMEGA328-AU";;;
15;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
16;"U3";"Multiwatt-15";1;"L298N";;;
17;"U1";"SOT-223";1;"NCP1117ST50T3G";;;
18;"TP3";"TestPoint_Pad_D1.5mm";1;"GND";;;
19;"TP2";"TestPoint_Pad_D1.5mm";1;"+12V";;;
20;"TP1";"TestPoint_Pad_D1.5mm";1;"+5V";;;
21;"S1";"SW_SPST_TL3342";1;"RESET";;;
22;"R19,R18,R17,R16,R15,R10,R8,R5";"R_0805_2012Metric";8;"10K";;;
23;"R14,R12";"R_0805_2012Metric";2;"100";;;
24;"R13,R11";"R_0805_2012Metric";2;"4.7K";;;
25;"R9,R7,R6,R4,R3,R2";"R_0805_2012Metric";6;"1K";;;
26;"R1";"R_0805_2012Metric";1;"2.2K";;;
27;"Q2,Q1";"SOT-23";2;"MMBT3904";;;
28;"JP3";"PinHeader_1x03_P2.54mm_Vertical";1;"TX/BUZZER";;;
29;"JP2,JP1";"PinHeader_1x02_P2.54mm_Vertical";2;"JUMPER";;;
30;"J12";"TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal";1;"KILL_SW";;;
31;"J11";"TerminalBlock_TE_282834-6_1x06_P2.54mm_Horizontal";1;"FTDI";;;
32;"J3";"TerminalBlock_bornier-2_P5.08mm";1;"Power Input";;;
33;"H4,H3,H2,H1";"MountingHole_3.5mm_Pad_Via";4;"MountingHole";;;
34;"F1";"Fuse_1206_3216Metric";1;"SF-1206F200";;;
35;"D16,D15,D14,D13,D12,D11,D10,D9,D5,D4,D1";"DO-214AC";11;"M7";;;
36;"D8";"LED_0805_2012Metric";1;"DBG_LED";;;
37;"D7,D6,D3,D2";"LED_0805_2012Metric";4;"LED";;;
38;"C12,C11";"CP_Elec_4x5.3";2;"10uF 35V";;;
39;"C10,C9";"C_0603_1608Metric";2;"22pF";;;
40;"C4,C2";"C_0805_2012Metric";2;"100nF";;;
41;"C3,C1";"CP_Elec_6.3x7.7";2;"47uF 35V";;;
