Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF 35V","CP_Elec_6.3x7.7",28.300000,-117.000000,0.000000,top
"C2","100nF","C_0805_2012Metric",28.750000,-122.000000,0.000000,top
"C3","47uF 35V","CP_Elec_6.3x7.7",28.300000,-142.000000,0.000000,top
"C4","100nF","C_0805_2012Metric",29.000000,-147.000000,0.000000,top
"C5","100nF","C_0402_1005Metric",59.950000,-167.950000,0.000000,top
"C6","100nF","C_0402_1005Metric",59.950000,-169.000000,0.000000,top
"C7","100nF","C_0402_1005Metric",59.900000,-153.700000,180.000000,top
"C8","100nF","C_0402_1005Metric",59.900000,-152.650000,180.000000,top
"C9","22pF","C_0603_1608Metric",57.200000,-153.200000,270.000000,top
"C10","22pF","C_0603_1608Metric",51.200000,-153.200000,90.000000,top
"C11","10uF 35V","CP_Elec_4x5.3",37.600000,-173.500000,0.000000,top
"C12","10uF 35V","CP_Elec_4x5.3",37.600000,-162.800000,0.000000,top
"D1","M7","DO-214AC",29.000000,-110.000000,0.000000,top
"D2","LED","LED_0805_2012Metric",26.700000,-103.600000,0.000000,top
"D3","LED","LED_0805_2012Metric",47.420000,-169.693000,0.000000,top
"D4","M7","DO-214AC",60.500000,-138.100000,90.000000,top
"D5","M7","DO-214AC",65.500000,-138.100000,90.000000,top
"D6","LED","LED_0805_2012Metric",54.250000,-147.250000,180.000000,top
"D7","LED","LED_0805_2012Metric",71.670000,-147.250000,0.000000,top
"D8","DBG_LED","LED_0805_2012Metric",47.420000,-171.807000,0.000000,top
"D9","M7","DO-214AC",91.900000,-138.090000,90.000000,top
"D10","M7","DO-214AC",87.200000,-138.090000,90.000000,top
"D11","M7","DO-214AC",87.200000,-173.710000,270.000000,top
"D12","M7","DO-214AC",91.900000,-173.710000,270.000000,top
"D13","M7","DO-214AC",96.600000,-138.390000,270.000000,top
"D14","M7","DO-214AC",82.500000,-138.380000,270.000000,top
"D15","M7","DO-214AC",82.500000,-173.420000,90.000000,top
"D16","M7","DO-214AC",96.600000,-173.420000,90.000000,top
"F1","SF-1206F200","Fuse_1206_3216Metric",27.250000,-106.250000,0.000000,top
"Q1","MMBT3904","SOT-23",54.270000,-137.750000,90.000000,top
"Q2","MMBT3904","SOT-23",71.650000,-137.750000,90.000000,top
"R1","2.2K","R_0805_2012Metric",30.200000,-103.600000,180.000000,top
"R2","1K","R_0805_2012Metric",47.400000,-167.624000,0.000000,top
"R3","1K","R_0805_2012Metric",54.270000,-143.250000,0.000000,top
"R4","1K","R_0805_2012Metric",54.270000,-145.250000,180.000000,top
"R5","10K","R_0805_2012Metric",54.270000,-141.250000,0.000000,top
"R6","1K","R_0805_2012Metric",71.650000,-143.250000,180.000000,top
"R7","1K","R_0805_2012Metric",71.650000,-145.250000,0.000000,top
"R8","10K","R_0805_2012Metric",71.650000,-141.250000,180.000000,top
"R9","1K","R_0805_2012Metric",47.400000,-173.876000,0.000000,top
"R10","10K","R_0805_2012Metric",47.400000,-175.900000,0.000000,top
"R11","4.7K","R_0805_2012Metric",37.600000,-177.100000,180.000000,top
"R12","100","R_0805_2012Metric",37.600000,-179.100000,0.000000,top
"R13","4.7K","R_0805_2012Metric",37.600000,-166.400000,180.000000,top
"R14","100","R_0805_2012Metric",37.600000,-168.500000,0.000000,top
"R15","10K","R_0805_2012Metric",71.550000,-161.450000,0.000000,top
"R16","10K","R_0805_2012Metric",71.550000,-159.400000,0.000000,top
"R17","10K","R_0805_2012Metric",71.550000,-157.350000,0.000000,top
"R18","10K","R_0805_2012Metric",71.550000,-155.300000,0.000000,top
"R19","10K","R_0805_2012Metric",47.400000,-165.600000,0.000000,top
"S1","RESET","SW_SPST_TL3342",54.900000,-176.450000,0.000000,top
"U1","NCP1117ST50T3G","SOT-223",28.250000,-131.000000,180.000000,top
"U2","ATMEGA328-AU","TQFP-32_7x7mm_P0.8mm",60.000000,-161.000000,270.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",54.200000,-153.200000,180.000000,top
